event,start_time,end_time,raw_context,line_number
VESSEL ARRIVED,,,,
LOADING COMMENCED,,,,
LOADING COMPLETED,,,,
VESSEL ARRIVED,,,,
DISCHARGING COMMENCED,,,,
VESSEL SAILED,,,,
VESSEL SAILED,,,,
UNKNOWN EVENT,,,,
LOADING COMMENCED,,,,
LOADING COMPLETED,,,,
DISCHARGING COMMENCED,,,,
DISCHARGING COMPLETED,,,,
DISCHARGING COMMENCED,,,,
DISCHARGING COMPLETED,,,,
VESSEL SAILED,,,,
VESSEL ARRIVED,,,,
BERTHED,,,,
QUARANTINE,,,,
IMMIGRATION,,,,
NOTICE OF READINESS,,,,
CARGO DOCUMENT ON BOARD,,,,
CARGO DOCUMENT ON BOARD,,,,
